 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 1.00000E+05 eV = 3.67493E+03 a.u.
 #
 # Element: Cu,  Z =  29,  atomic weight = 6.35460E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.26986E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 29
 #
 # Electron density: Read from file z_029.den   
 #                   Number of data points =  771
 #                   Volume integral = 2.90000E+01
 #
 # Total elastic cross section = 5.76694E-18 cm**2 = 2.05941E-01 a0**2
 # 1st transport cross section = 1.86853E-20 cm**2 = 6.67264E-04 a0**2
 # 2nd transport cross section = 4.84743E-20 cm**2 = 1.73105E-03 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  9.200E+00  6.43187E-03  2.17423E-18  7.76430E-02  3.97070E-04  1.0E-07
  9.300E+00  6.57214E-03  2.09119E-18  7.46777E-02  4.05363E-04  1.0E-07
  9.400E+00  6.71392E-03  2.01210E-18  7.18533E-02  4.13736E-04  1.0E-07
  9.500E+00  6.85720E-03  1.93672E-18  6.91617E-02  4.22187E-04  1.0E-07
  9.600E+00  7.00198E-03  1.86486E-18  6.65954E-02  4.30717E-04  1.0E-07
  9.700E+00  7.14827E-03  1.79630E-18  6.41472E-02  4.39324E-04  1.0E-07
  9.800E+00  7.29605E-03  1.73088E-18  6.18107E-02  4.48007E-04  1.0E-07
  9.900E+00  7.44534E-03  1.66840E-18  5.95796E-02  4.56767E-04  1.0E-07
  1.000E+01  7.59612E-03  1.60872E-18  5.74483E-02  4.65601E-04  1.0E-07
  1.025E+01  7.97965E-03  1.47076E-18  5.25218E-02  4.88014E-04  1.0E-07
  1.050E+01  8.37255E-03  1.34724E-18  4.81108E-02  5.10884E-04  1.0E-07
  1.075E+01  8.77480E-03  1.23636E-18  4.41513E-02  5.34202E-04  1.0E-07
  1.100E+01  9.18641E-03  1.13659E-18  4.05885E-02  5.57961E-04  1.0E-07
  1.125E+01  9.60736E-03  1.04662E-18  3.73755E-02  5.82151E-04  1.0E-07
  1.150E+01  1.00376E-02  9.65306E-19  3.44717E-02  6.06768E-04  1.0E-07
  1.175E+01  1.04773E-02  8.91668E-19  3.18420E-02  6.31804E-04  1.0E-07
  1.200E+01  1.09262E-02  8.24852E-19  2.94560E-02  6.57254E-04  1.0E-07
